k,d,n,tiempo, coste
2,2,5,0.289159,0.005350
2,2,6,0.484304,0.013800
2,2,7,0.653691,0.024275
2,2,9,0.730598,0.029217
2,2,10,0.923593,0.032876
2,2,11,1.275284,0.034021
2,2,12,1.754450,0.043900
2,2,13,2.292780,0.058288
2,2,14,2.838924,0.063571
2,2,15,3.563108,0.068002
2,2,16,4.396893,0.071675
2,2,17,5.295337,0.076132
2,2,18,6.652101,0.080017
2,2,19,8.058912,0.089078
2,2,20,10.041406,0.092905
2,2,21,11.971220,0.102469
2,2,22,13.533906,0.104485
2,2,23,17.080387,0.109499
2,2,24,19.906435,0.110018
2,2,25,22.861345,0.110922
2,2,26,27.551298,0.111848
2,2,27,32.074230,0.112953
2,2,28,37.075347,0.117650
2,2,29,42.602586,0.151120
2,2,30,48.110859,0.160344
2,2,31,54.957256,0.176809
2,2,32,59.681175,0.189292
2,2,33,70.778681,0.191382
2,2,34,76.467584,0.200607
2,2,35,88.595260,0.212601
2,2,36,99.287023,0.249367
2,2,37,107.578534,0.277223
2,2,38,118.582153,0.280064
2,2,39,137.352857,0.280728
2,2,40,151.598453,0.283482
2,2,41,160.919239,0.287880
2,2,42,177.755316,0.291250
2,2,43,203.172351,0.293927
2,2,44,213.344198,0.325769
2,2,45,242.517970,0.355611
2,2,46,265.296044,0.489677
2,2,47,289.270876,0.528734
2,2,48,301.641837,0.675178
2,2,49,340.883060,0.724297
2,2,50,370.436985,0.732818
2,2,51,384.314744,0.735791
2,2,52,432.540159,0.742360
2,2,53,463.447592,0.744693
2,2,54,500.992467,0.750554
2,2,55,540.813734,0.756112
2,2,58,643.542113,0.853053
2,2,59,719.205017,0.862328
2,2,60,768.589516,0.903189
2,2,61,786.135798,0.943624
2,2,62,838.565977,1.005647
2,2,63,930.323016,1.048649
2,2,64,953.561803,1.100881
2,2,65,1016.142567,1.130928
2,2,66,1127.181151,1.176061
2,2,67,1146.641082,1.202765
2,2,68,1216.050297,1.225748
2,2,69,1340.656042,1.246345
2,2,70,1412.536292,1.258340
2,2,71,1504.170853,1.297194
2,2,72,1586.288710,1.325393
2,2,73,1613.823804,1.346753
2,2,74,1769.729175,1.364107
2,2,75,1865.541940,1.397091
2,2,76,1968.970234,1.413790
2,2,77,2088.441038,1.444378
2,2,78,2182.769312,1.454965
2,2,79,2207.241973,1.478275
2,2,80,2417.300908,1.489762
2,2,81,2555.208095,1.511987
2,2,82,2558.819960,1.527770
2,2,83,2688.796218,1.543869
2,2,84,2824.544931,1.560876
2,2,85,2960.510305,1.569167
2,2,87,3142.199703,1.593123
2,2,88,3404.746553,1.609664
2,2,89,3570.346830,1.635384
2,2,90,3891.750368,1.644945
2,2,91,4074.008321,1.649468
2,2,92,4076.568500,1.658905
2,2,93,4431.599624,1.662658
2,2,94,4609.952314,1.670389
2,2,95,4618.957382,1.688294
2,2,96,4804.162561,1.699809
2,2,97,5236.930287,1.702515
2,2,98,5463.562251,1.714457
2,2,100,5673.954928,1.730647
2,2,101,5905.497445,1.745197
2,2,102,6409.783574,1.757368
2,2,103,6651.135008,1.762512
2,2,104,6913.194433,1.770374
2,2,105,7238.202960,1.784613
2,2,106,7477.038493,1.818108
2,2,107,7810.975340,1.836894
2,2,108,8070.698084,1.854059
2,2,110,8320.828372,1.892738
2,2,111,8964.911660,1.935762
2,2,112,9342.975379,1.955963
2,2,113,9697.508671,1.966671
2,2,114,9647.887917,1.989810
2,2,115,10025.840047,2.005837
2,2,116,10329.386426,2.069589
2,2,118,11015.706951,2.197679
2,2,119,11411.007844,2.209458
2,2,120,12261.369456,2.226606
2,2,122,13192.682032,2.242406
2,2,123,13088.985391,2.311018
2,2,124,13431.803414,2.350101
2,2,126,14299.738198,2.527371
2,2,127,14772.741464,2.573098
2,2,128,15434.038674,2.611688
2,2,129,15737.718798,2.653735
2,2,130,16895.674209,2.703812
2,2,131,17442.626361,2.756766
2,2,132,18103.307507,2.826722
2,2,133,18473.387629,2.870832
2,2,134,18934.883863,2.912039
2,2,135,18837.459374,2.975166
2,2,137,20020.081127,3.038309
2,2,138,20570.052391,3.087960
2,2,180,32802.836992,4.766299
2,2,210,51782.863211,8.741325
2,2,249,101343.465831,13.682060
2,3,5,0.109313,0.006900
2,3,6,0.138259,0.024360
2,3,7,0.331435,0.026110
2,3,8,0.566689,0.039227
2,3,9,1.051194,0.047935
2,3,10,1.721264,0.082440
2,3,11,2.837744,0.112527
2,3,12,4.496511,0.122589
2,3,13,6.874968,0.128348
2,3,14,10.102492,0.184027
2,3,15,14.416439,0.245970
2,3,16,20.306048,0.302996
2,3,17,27.700720,0.337277
2,3,18,37.236856,0.367667
2,3,19,49.316133,0.417317
2,3,20,64.089971,0.479404
2,3,21,82.316585,0.504850
2,3,22,104.962399,0.570656
2,3,23,131.981187,0.615738
2,3,24,164.232445,0.656036
2,3,25,202.181623,0.694827
2,3,26,247.246114,0.738263
2,3,27,299.832955,0.764510
2,3,28,360.865407,0.777373
2,3,29,431.184128,0.808084
